Item,Planned,Completed,Notes
"Dance or Singing Class",0,0, link: http://localhost:5173/blog/05_BINJO/3_recipes
"Clubbing",0,0,
"Make a Piece of Pottery",100,0,
"Ice Bathing",0,0,
"Host 5 Gatherings",0,20,
"Swim in the Olympic Pool",100,0,
"Bike-Packing Trip",0,0,
"Multi-Day Hiking Trip",0,0,
"5 New Countries",40,40,
"2 Day Trips Per Month",8.3,8.3,
"10 New Mountains",0,0,
"20 Books",0,0,
"Website",50,50,
"20 Postcards to Friends & Family",0,15,
"50 New Recipes",0,0,
"Make a Podcast or Blog",50,50,
"Wall-Worthy Painting",0,0,
"10-Minute German Convo",0,0,
"Play a Song (Well) on the Piano",70,30,
"1 Month Not Being Late Ever",0,80,
"2 Pull-Ups",0,40,
"Qualify for Boston",0,0,
"Ultra-marathon or Triathlon",0,0,
"25 Cycle Classes Before May",0,40,
"Race in 3 Different Countries",0,33,
